"","solvedIns","solveTime","preTime","optfasterNum","nExtraFaster","up mean(%)","up median(%)","optslowerNum","nExtraSlower","down mean(%)","down median(%)","nCall","nApplied(%)","red%","correct_ans"
"roundingSat",1031,51.8014428506305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doubletoneq",1023,51.7331253642229,0.268810139002933,67,6,40.4799533318784,42.6700312932819,28,14,116.629355402485,80.135908124454,1.07837301587302,7.44047619047619,2.52608021712832,TRUE
"Propagation",1023,55.546202388172,0.322427476832845,292,10,42.1607666704718,40.0684962877109,62,18,174.268450398152,69.239210222533,1.64980158730159,32.9365079365079,67.5551426518908,TRUE
"SimpleProbing",1022,50.9238980357143,0.264075032093933,6,6,NA,NA,15,15,NA,NA,1,0,NA,TRUE
"HBR",1022,53.4150240704501,0.749225479452055,356,3,33.2556196647657,32.7274751818003,152,12,59.8606004129858,12.5203942481265,1,48.4344422700587,0.253050064752182,TRUE
"DualFix",1019,51.8285296123651,0.279973282728165,117,7,20.647919041683,19.9048685712949,24,19,3803.14649042118,66.4266181835721,2.3369890329013,11.5653040877368,0.325798227200492,TRUE
"Stuffing",1019,49.6027721888126,0.271017590677134,23,7,34.5434289280567,25.8033113246127,32,19,474.741523094822,75.1180952607368,1.02988047808765,2.98804780876494,0.637241030067333,TRUE
"CoeffStrengthen",1018,50.5048659392927,0.288309359921415,117,7,28.9059061970224,26.3557795177239,47,20,985.0978971602,27.8219133889883,1.18544366899302,13.7587238285145,31.1618614501566,TRUE
"ColSingleton",1017,49.1622272023599,0.268329956735497,22,7,36.3642019395605,26.7972730135793,35,21,439.201153969606,75.4911697677924,1.02994011976048,2.9940119760479,0.637241030067333,TRUE
"ParallelRow",1017,57.6018206506391,0.31560194473943,309,9,30.4802222270933,21.8813665560821,112,23,257.95914028816,60.0238538468357,1,39.5209580838323,6.39135343068762,TRUE
"SimplifyIneq",1017,51.1391907174041,0.301692299311701,36,6,31.330299458845,28.6743448330106,31,20,296.16468226391,91.2118526022541,1.0499001996008,4.09181636726547,8.29474068768907,TRUE
"Sparsify",1016,49.4956800233268,1.10381529360236,51,7,39.4667486572207,38.4170467988166,40,22,673.772723016362,147.575880310819,1,6.29370629370629,2.35690849414181,TRUE
"defaultPaPILO",1016,50.7362846449803,0.261718781200787,6,6,NA,NA,21,21,NA,NA,NA,NA,NA,TRUE
"PureLit",1015,49.6176805228571,0.303606953793103,193,7,29.5410558705281,23.1539718950521,42,23,1863.73194561781,55.5707012302009,2.593,20.9,8.24148739765951,TRUE
"Probing",998,49.8999583750501,50.5021609027054,497,12,38.4214717582544,35.8970480982197,131,45,2118.59940642313,91.8283012102105,2.79654120040692,59.1047812817904,20.1562793206454,TRUE
